group_number,flower_type_label,plant_type_label,leaf_type_label,sub_group_1,sub_group_2,sub_group_3,description,page_number,extractor_warning
533,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow,Leaves longer than wide,,"Flowers showy (over 1"" wide), with large veiny petals (Mallows)",214,0
533,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Flowers not yellow,Leaves longer than wide,,Flowers star- or wheel-shaped,216,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers very small (under 1/4"" wide or long)",,,"Flowers in dense spikes, racemes or heads",218,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers very small (under 1/4"" wide or long)",Flowers in umbels or flat clusters,,Leaves palmate with 3-5 leaflets,218,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers very small (under 1/4"" wide or long)",Flowers in umbels or flat clusters,,Leaves finely divided,220,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers very small (under 1/4"" wide or long)",Flowers in umbels or flat clusters,,Leaves once-pinnate,222,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers very small (under 1/4"" wide or long)",Flowers in umbels or flat clusters,,"Leaves 2 to 3-times-divided, but not finely divided",222,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers very small (under 1/4"" wide or long)",Flowers in umbels or flat clusters,,Yellow or purple flowers,226,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Flowers not yellow,,Bell-shaped or nodding flowers,228,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Flowers not yellow,,"Stem leaves with 3 or more entire, toothed or shallowly lobed leaflets",230,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Flowers not yellow,,Stem leaves or leaflets deeply lobed or divided,234,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Yellow flowers,,Basal (or lowest) leaves pinnately divided or lobed,236,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Yellow flowers,,"Leaflets 3-7, regularly toothed",240,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Yellow flowers,,Leaf divisions deeply lobed or divided,242,0
534,5 Regular Parts,Wildflowers - Alternate Leaves,Leaves Divided,"Flowers 1/4"" or more wide or long",Yellow flowers,,Leaflets entire or notched at the tip,246,0
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,"Petals (or petal-like parts) grown together to form a tube, bell or cup",At least some of the flowers terminal,,"Flowers flat-topped, the lobes very narrow at the base and united to form a slender tube (Phloxes)",246,0
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,"Petals (or petal-like parts) grown together to form a tube, bell or cup",At least some of the flowers terminal,,"Flowers under 1/2"" long, bell- or cup-shaped or tubular",250,0
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,"Petals (or petal-like parts) grown together to form a tube, bell or cup",At least some of the flowers terminal,,"Flowers 1/2"" or more long, funnel- or club-shaped, or tubular with small flaring lobes",252,0
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,"Petals (or petal-like parts) grown together to form a tube, bell or cup",,,Flowers all growing in the axils,256,0
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,"Petals separate; sepals united into a tube, cup or bladder from which the petals emerge",,,Plants of dry habitats,258,0
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,"Petals separate; sepals united into a tube, cup or bladder from which the petals emerge",,,Plants of swamps and wet meadows,262,0
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,,,Plants with milky juice (Milkweeds),262,0
542,5 Regular Parts,Wildflowers - Opposite or Whorled Leaves,Leaves Entire,Both sepals and petals (if present) separate or appearing so,Juice not milky,,Yellow flowers,266,0
