newcomb_species_name,species_page,species_inat,subspecies_inat,suggested_species_id,species_inat_link,subspecies_inat_link,multiple_species,multiple_subspecies,warning_species_extraction
Aster puniceus,456.0,Symphyotrichum puniceum,var. puniceum,Symphyotrichum firmum,https://www.inaturalist.org/taxa/319564,,1.0,0.0,0.0
Aster radula,456.0,Eurybia radula,,Eurybia radula,https://www.inaturalist.org/taxa/153201,,0.0,0.0,0.0
Aster sagittifolius,454.0,Symphyotrichum urophyllum,,Symphyotrichum urophyllum,https://www.inaturalist.org/taxa/169492,,0.0,0.0,0.0
Aster schreberi,454.0,Eurybia schreberi,,Eurybia schreberi,https://www.inaturalist.org/taxa/143889,,0.0,0.0,0.0
Aster shortii,454.0,Symphyotrichum shortii,,Symphyotrichum shortii,https://www.inaturalist.org/taxa/169487,,0.0,0.0,0.0
Aster simplex,456.0,Symphyotrichum lanceolatum,var. latifolium,,https://www.inaturalist.org/taxa/79301,https://www.inaturalist.org/taxa/238759-Symphyotrichum-lanceolatum-lanceolatum,,,
Aster simplex,456.0,Symphyotrichum lanceolatum,var. lanceolatum,var. latifolium,https://www.inaturalist.org/taxa/79301,https://www.inaturalist.org/taxa/153202-Symphyotrichum-lanceolatum-latifolium,0.0,0.0,0.0
Aster spectabilis,462.0,Eurybia spectabilis,,Eurybia spectabilis,https://www.inaturalist.org/taxa/162891,,0.0,0.0,0.0
Aster subulatus,458.0,Symphyotrichum subulatum,var.subulatum,Symphyotrichum subulatum,https://www.inaturalist.org/taxa/64208,https://www.inaturalist.org/taxa/200028,0.0,0.0,0.0
Aster tenuifolius,460.0,Symphyotrichum tenuifolium,var.tenuifolium,Symphyotrichum tenuifolium,https://www.inaturalist.org/taxa/145483,https://www.inaturalist.org/taxa/856656,0.0,0.0,0.0
Aster umbellatus,462.0,Doellingeria umbellata,,var. umbellata,https://www.inaturalist.org/taxa/120179,,1.0,0.0,0.0
Aster undulatus,454.0,Symphyotrichum undulatum,,Symphyotrichum undulatum,https://www.inaturalist.org/taxa/126656,,0.0,0.0,0.0
Aster vimineus,458.0,Symphyotrichum racemosum,,,https://www.inaturalist.org/taxa/169483,,0.0,0.0,0.0
Atriplex arenaria,406.0,Atriplex cristata,,Atriplex cristata,https://www.inaturalist.org/taxa/131549,,0.0,0.0,0.0
Atriplex patula,414.0,Atriplex littoralis,,,,,1.0,0.0,0.0
Atriplex patula,414.0,Atriplex littoralis,,,https://www.inaturalist.org/taxa/159077,,1.0,0.0,0.0
Atriplex patula,414.0,Atriplex littoralis,,,https://www.inaturalist.org/taxa/75701,,1.0,0.0,0.0
Atriplex patula,414.0,Atriplex littoralis,,ssp. prostrata,https://www.inaturalist.org/taxa/60176,,1.0,0.0,0.0
Atriplex patula,414.0,Atriplex littoralis,,,,,1.0,0.0,0.0
Atriplex patula,414.0,Atriplex littoralis,,ssp. patula,https://www.inaturalist.org/taxa/60175,,1.0,0.0,0.0
 Baptisa tinctoria,58.0,Baptisia tinctoria,,,https://www.inaturalist.org/taxa/81897-Baptisia-tinctoria#map-tab,,,,
Baptisia alba,60.0,Baptisa australis,,,https://www.inaturalist.org/taxa/126835,,,,
Baptisia alba,60.0,Baptisia alba,,,https://www.inaturalist.org/taxa/126835,,0.0,0.0,0.0
Belamcanda chinensis,348.0,Iris domestica,,Iris domestica,https://www.inaturalist.org/taxa/204330,,0.0,0.0,0.0
Bidens coronata,394.0,Bidens trichosperma,,Bidens trichosperma,https://www.inaturalist.org/taxa/204254,,0.0,0.0,0.0
Brassica kaber,142.0,Rhamphospermum arvense,,Rhamphospermum arvense,https://www.inaturalist.org/taxa/1451052,,0.0,0.0,0.0
Brassica nigra,144.0,Rhamphospermum nigrum,,Rhamphospermum nigrum,https://www.inaturalist.org/taxa/1451050,,0.0,0.0,0.0
